block,presentation,shape1,shape2,shape3,span,is_set,train_test
0,lrr,gtd,gsd,rtd,1,0,train
0,lll,bmf,gtl,gsl,3,0,train
0,rrr,gmd,bmd,rmd,1,1,train
0,rlr,gtl,bmd,rsf,3,1,train
0,rrl,gtd,gtf,gtl,1,1,train
0,rll,gsf,rtd,bml,3,1,train
0,llr,gtf,gtd,gsf,1,0,train
0,lrl,rml,btf,bsl,3,0,train
1,lrl,gmf,bmf,rmf,1,1,test
1,lll,bsf,btf,btd,1,0,test
1,lll,bsf,rsf,rsl,1,0,test
1,lrl,bsf,gmd,rtl,3,1,test
1,llr,bmf,bsf,gsf,1,0,test
1,llr,rsl,gmf,btd,3,1,test
1,rrr,gsd,bmf,rtl,3,1,test
1,rrr,gsd,btl,rmf,3,1,test
1,lrl,rtf,rmf,gtf,1,0,test
1,lrl,gtl,rsd,rml,3,0,test
1,rrr,rtd,bmf,gsl,3,1,test
1,lll,bsl,rtf,rtd,3,0,test
1,lll,rsd,rsl,gsl,1,0,test
1,rrr,gmd,rsl,rtl,3,0,test
1,lll,gsd,rtl,btd,3,0,test
1,rrr,gtd,rtd,btd,1,1,test
1,llr,gtl,btl,bml,1,0,test
1,llr,bmd,rtl,gsf,3,1,test
1,lll,rmd,gtl,bsf,3,1,test
1,lrl,bmf,bsf,bsd,1,0,test
1,llr,bmd,bml,bsl,1,0,test
1,llr,btf,gtf,rtf,1,1,test
1,lll,rsd,gmf,bsd,3,0,test
1,rrr,gmf,bmf,bmd,1,0,test
1,lll,bmd,bml,bmf,1,1,test
1,rrr,bsf,btf,gsf,1,0,test
1,lrl,gmd,bsf,rtl,3,1,test
1,lrl,gsd,rtl,bmf,3,1,test
1,rrr,gml,bml,bsl,1,0,test
1,rrr,bsd,rml,rtl,3,0,test
1,lrl,bml,bmf,bsl,1,0,test
1,lrl,bml,btl,bsl,1,1,test
1,llr,bmf,gsd,rtl,3,1,test
1,lll,rsf,bmd,gtl,3,1,test
1,rrr,rmf,bmf,gmf,1,1,test
1,llr,rtf,bml,gtf,3,0,test
1,rrr,gtd,bsf,btl,3,0,test
1,lll,btd,rsf,gml,3,1,test
1,lll,gtl,rtl,btl,1,1,test
1,rrr,gml,gmf,gmd,1,1,test
1,lrl,rtl,gsf,bsl,3,0,test
1,lrl,rmf,gtl,bmf,3,0,test
1,llr,rsf,rmf,rtf,1,1,test
1,llr,gtd,bmf,gtl,3,0,test
1,lrl,bsd,bsf,bsl,1,1,test
1,llr,btd,gmf,gsf,3,0,test
1,lll,btd,rtd,gtd,1,1,test
1,llr,rmd,rmf,rml,1,1,test
2,rrr,rtd,bsf,gml,3,1,test
2,lll,bmd,gmd,rmd,1,1,test
2,rrl,gtd,bsf,rml,3,1,test
2,lll,rtd,gmf,bsl,3,1,test
2,rlr,rtf,rtl,rtd,1,1,test
2,lll,gsd,gtd,gmd,1,1,test
2,rrl,rsd,rmd,bmd,1,0,test
2,rlr,gmf,bsd,rtl,3,1,test
2,rrl,bml,bsl,btl,1,1,test
2,rlr,bsd,bsf,bmd,1,0,test
2,rlr,bsl,rtf,gsf,3,0,test
2,rrr,bmf,rmf,rsf,1,0,test
